표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
"KR7367460003","367460","유안타제7호기업인수목적","유안타제7호스팩","Yuanta 7 SPECIAL PURPOSE ACQUISITION COMPANY","2020/12/28","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","5500000"
"KR7056090004","056090","유앤아이","유앤아이","U&I CORPORATION","2015/11/12","KOSDAQ","주권","기술성장기업부","보통주","500","8145121"
"KR7263770000","263770","유에스티","유에스티","UST CO., LTD.","2017/04/06","KOSDAQ","주권","중견기업부","보통주","100","23700172"
"KR7023410004","023410","유진기업","유진기업","EUGENE Corporation","1994/10/07","KOSDAQ","주권","우량기업부","보통주","500","77310863"
"KR7321260002","321260","유진기업인수목적4호","유진스팩4호","EUGENE SEPCIAL PURPOSE ACQUISITION 4 CO.,LTD.","2019/05/31","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","3490000"
"KR7331380006","331380","유진기업인수목적5호","유진스팩5호","EUGENE SPECIAL PURPOSE ACQUISITION 5 COMPANY","2019/10/02","KOSDAQ","주권","SPAC(소속부없음)","보통주","100","4010000"
"KR7056080005","056080","유진로봇","유진로봇","Yujin Robot Co., Ltd.","2001/11/13","KOSDAQ","주권","벤처기업부","보통주","500","37512152"
"KR7084370006","084370","유진테크","유진테크","Eugene Technology Co., Ltd.","2006/01/17","KOSDAQ","주권","우량기업부","보통주","500","22916042"
"KR7178780003","178780","유테크","유테크","U-Tech Co.,Ltd.","2015/06/30","KOSDAQ","주권","관리종목(소속부없음)","보통주","500","34593841"
"KR7179900006","179900","유티아이","유티아이","UTI INC.","2017/09/27","KOSDAQ","주권","우량기업부","보통주","500","16206895"
"KR7263050007","263050","유틸렉스","유틸렉스","Eutilex Co., Ltd.","2018/12/24","KOSDAQ","주권","기술성장기업부","보통주","500","15058467"
"KR7191410000","191410","육일씨엔에쓰","육일씨엔에쓰","RYUK-IL C&S., Ltd","2015/12/24","KOSDAQ","주권","중견기업부","보통주","500","9363022"
"KR7072770001","072770","율호","율호","Yulho","2007/07/25","KOSDAQ","주권","중견기업부","보통주","500","36676928"
"KR7039020003","039020","이건홀딩스","이건홀딩스","EAGON HOLDINGS CO., LTD.","2000/05/04","KOSDAQ","주권","우량기업부","보통주","1000","22584709"
"KR7060230000","060230","이그잭스","이그잭스","exax Inc.","2002/06/25","KOSDAQ","주권","중견기업부","보통주","500","77164576"
"KR7067920009","067920","이글루시큐리티","이글루시큐리티","Igloo Security, Inc.","2010/08/04","KOSDAQ","주권","벤처기업부","보통주","500","10996119"
